Gene 1	Gene Name 1	Gene 2	Gene Name 2	AA %id	Length Ratio
YFL004W	VTC2	YPL019C	VTC3	56%	0.99
YGL166W	CUP2	YPR008W	HAA1	33%	0.33
YGL162W	SUT1	YPR009W	SUT2	32%	0.90
YER129W	SAK1	YGL179C	TOS3	37%	0.49
YER131W	RPS26B	YGL189C	RPS26A	98%	1.00
YER132C	PMD1	YGL197W	MDS3	42%	0.85
YDR066C	YDR066C	YER139C	YER139C	31%	0.87
YDR069C	DOA4	YER144C	UBP5	41%	0.87
YDR077W	SED1	YER150W	SPI1	50%	0.44
YDR085C	AFR1	YER158C	YER158C	18%	0.92
YDR093W	DNF2	YER166W	DNF1	68%	0.97
YDR096W	GIS1	YER169W	RPH1	36%	0.89
YDR098C	GRX3	YER174C	GRX4	67%	0.86
YDR099W	BMH2	YER177W	BMH1	92%	0.98
YDR107C	YDR107C	YLR083C	EMP70	74%	0.99
YDR111C	YDR111C	YLR089C	YLR089C	62%	0.86
YDR122W	KIN1	YLR096W	KIN2	51%	0.93
YDR125C	ECM18	YLR099C	ICT1	42%	0.87
YDR132C	YDR132C	YLR108C	YLR108C	41%	0.98
Scer_YGOB_YDR134C	YDR134C	YLR110C	CCW12	75%	0.99
YDR144C	MKC7	YLR120C	YPS1	50%	0.95
YDR146C	SWI5	YLR131C	ACE2	28%	0.92
YDR147W	EKI1	YLR133W	CKI1	34%	0.92
YDR151C	CTH1	YLR136C	TIS11	40%	0.88
YDR178W	SDH4	YLR164W	YLR164W	48%	0.93
YDR185C	YDR185C	YLR168C	YLR168C	55%	0.78
YDR200C	VPS64	YLR238W	FAR10	38%	0.79
YDR206W	EBS1	YLR233C	EST1	25%	0.79
YDR213W	UPC2	YLR228C	ECM22	48%	0.89
YDR222W	YDR222W	YLR225C	YLR225C	50%	0.98
YDR223W	CRF1	YLR223C	IFH1	24%	0.43
YDL204W	RTN2	YDR233C	RTN1	25%	0.75
YDR247W	VHS1	YPL026C	SKS1	44%	0.92
YDR251W	PAM1	YPL032C	SVL3	35%	0.99
YDR252W	BTT1	YPL037C	EGD1	48%	0.95
YDR253C	MET32	YPL038W	MET31	41%	0.93
YDR480W	DIG2	YPL049C	DIG1	18%	0.72
YDR483W	KRE2	YPL053C	KTR6	38%	0.99
YBR161W	CSH1	YPL057C	SUR1	63%	0.98
YBR197C	YBR197C	YPL077C	YPL077C	22%	0.90
YBR191W	RPL21A	YPL079W	RPL21B	98%	1.00
YBR189W	RPS9B	YPL081W	RPS9A	96%	0.99
YBR183W	YPC1	YPL087W	YDC1	52%	1.00
YBR182C	SMP1	YPL089C	RLM1	28%	0.67
YBR181C	RPS6B	YPL090C	RPS6A	100%	1.00
YBR177C	EHT1	YPL095C	EEB1	58%	0.99
YBR172C	SMY2	YPL105C	YPL105C	29%	0.87
YBR169C	SSE2	YPL106C	SSE1	75%	1.00
YPL112C	PEX25	YOR193W	PEX27	18%	0.95
YOR204W	DED1	YPL119C	DBP1	69%	0.98
YPL130W	SPO19	YOR214C	YOR214C	17%	0.95
YOR222W	ODC2	YPL134C	ODC1	62%	0.99
YOR226C	ISU2	YPL135W	ISU1	70%	0.95
YOR227W	YOR227W	YPL137C	GIP3	44%	0.98
YOR229W	WTM2	YPL139C	UME1	37%	0.99
YOR231W	MKK1	YPL140C	MKK2	57%	1.00
YOR233W	KIN4	YPL141C	YPL141C	41%	0.92
YOR234C	RPL33B	YPL143W	RPL33A	99%	1.00
YOR237W	HES1	YPL145C	KES1	69%	1.00
YOR247W	SRL1	YPL163C	SVS1	28%	0.81
YOR256C	TRE2	YPL176C	TRE1	44%	0.97
YMR230W	RPS10B	YOR293W	RPS10A	97%	1.00
YMR233W	TRI1	YOR295W	UAF30	37%	0.99
YMR237W	BCH1	YOR299W	BUD7	56%	0.97
YMR242C	RPL20A	YOR312C	RPL20B	100%	1.00
YMR243C	ZRC1	YOR316C	COT1	55%	0.99
YMR246W	FAA4	YOR317W	FAA1	61%	0.99
YMR251W-A	HOR7	YOL052C-A	DDR2	45%	0.97
YML100W	TSL1	YMR261C	TPS3	53%	0.96
YMR264W	CUE1	YML101C	CUE4	23%	0.58
YML106W	URA5	YMR271C	URA10	73%	1.00
YML109W	ZDS2	YMR273C	ZDS1	30%	0.97
YML111W	BUL2	YMR275C	BUL1	52%	0.94
YML116W	ATR1	YMR279C	YMR279C	57%	1.00
YML118W	NGL3	YMR285C	NGL2	40%	0.98
YML124C	TUB3	YML085C	TUB1	91%	1.00
YML125C	PGA3	YML087C	YML087C	47%	1.00
