"input" "reason" "matches" "symbol" "organism.shortName" "name" "length" "secondaryIdentifier" "primaryIdentifier" "class"
"YLR355C" "MATCH" "1" "ILV5" "S. cerevisiae" "IsoLeucine-plus-Valine requiring" "1188" "YLR355C" "S000004347" "ORF"
"YDR270W" "MATCH" "1" "CCC2" "S. cerevisiae" "Cross-Complements Ca(2+) phenotype of csg1" "3015" "YDR270W" "S000002678" "ORF"
"YGL055W" "MATCH" "1" "OLE1" "S. cerevisiae" "OLEic acid requiring" "1533" "YGL055W" "S000003023" "ORF"
"YJR063W" "MATCH" "1" "RPA12" "S. cerevisiae" "RNA Polymerase A" "378" "YJR063W" "S000003824" "ORF"
"YOR095C" "MATCH" "1" "RKI1" "S. cerevisiae" "Ribose-5-phosphate Ketol-Isomerase" "777" "YOR095C" "S000005621" "ORF"
"YML019W" "MATCH" "1" "OST6" "S. cerevisiae" "OligoSaccharylTransferase" "999" "YML019W" "S000004481" "ORF"
"YCL036W" "MATCH" "1" "GFD2" "S. cerevisiae" "Great for Full DEAD box protein activity" "1701" "YCL036W" "S000000541" "ORF"
"YPR068C" "MATCH" "1" "HOS1" "S. cerevisiae" "Hda One Similar" "1413" "YPR068C" "S000006272" "ORF"
"YPR067W" "MATCH" "1" "ISA2" "S. cerevisiae" "Iron Sulfur Assembly" "558" "YPR067W" "S000006271" "ORF"
"YBR244W" "MATCH" "1" "GPX2" "S. cerevisiae" "Glutathione PeroXidase" "489" "YBR244W" "S000000448" "ORF"
"YKR037C" "MATCH" "1" "SPC34" "S. cerevisiae" "Spindle Pole Component" "888" "YKR037C" "S000001745" "ORF"
"YAL047C" "MATCH" "1" "SPC72" "S. cerevisiae" "Spindle Pole Component" "1869" "YAL047C" "S000000045" "ORF"
"YIL085C" "MATCH" "1" "KTR7" "S. cerevisiae" "Kre Two Related" "1554" "YIL085C" "S000001347" "ORF"
"YOL040C" "MATCH" "1" "RPS15" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "429" "YOL040C" "S000005400" "ORF"
"YLR226W" "MATCH" "1" "BUR2" "S. cerevisiae" "Bypass UAS Requirement" "1188" "YLR226W" "S000004216" "ORF"
"YCL037C" "MATCH" "1" "SRO9" "S. cerevisiae" "Suppressor of rho3" "1305" "YCL037C" "S000000542" "ORF"
"YDL227C" "MATCH" "1" "HO" "S. cerevisiae" "HOmothallic switching endonuclease" "1761" "YDL227C" "S000002386" "ORF"
"YHR160C" "MATCH" "1" "PEX18" "S. cerevisiae" "PEroXin" "852" "YHR160C" "S000001203" "ORF"
"YOR094W" "MATCH" "1" "ARF3" "S. cerevisiae" "ADP-Ribosylation Factor" "552" "YOR094W" "S000005620" "ORF"
"YDR016C" "MATCH" "1" "DAD1" "S. cerevisiae" "Duo1 And Dam1 interacting" "285" "YDR016C" "S000002423" "ORF"
"YBR245C" "MATCH" "1" "ISW1" "S. cerevisiae" "Imitation SWitch subfamily" "3390" "YBR245C" "S000000449" "ORF"
"YLR227C" "MATCH" "1" "ADY4" "S. cerevisiae" "Accumulation of DYads" "1482" "YLR227C" "S000004217" "ORF"
"YBR112C" "MATCH" "1" "CYC8" "S. cerevisiae" "CYtochrome C" "2901" "YBR112C" "S000000316" "ORF"
"YDR147W" "MATCH" "1" "EKI1" "S. cerevisiae" "Ethanolamine KInase" "1605" "YDR147W" "S000002554" "ORF"
"YMR191W" "MATCH" "1" "SPG5" "S. cerevisiae" "Stationary Phase Gene" "1122" "YMR191W" "S000004803" "ORF"
"YPR066W" "MATCH" "1" "UBA3" "S. cerevisiae" "UBiquitin-like protein-Activating enzyme" "900" "YPR066W" "S000006270" "ORF"
"YDR451C" "MATCH" "1" "YHP1" "S. cerevisiae" "Yeast Homeo-Protein" "1062" "YDR451C" "S000002859" "ORF"
"YKL116C" "MATCH" "1" "PRR1" "S. cerevisiae" "Pheromone Response Regulator" "1557" "YKL116C" "S000001599" "ORF"
"YAL046C" "MATCH" "1" "BOL3" "S. cerevisiae" "BolA-like protein" "357" "YAL046C" "S000000044" "ORF"
"YKR036C" "MATCH" "1" "CAF4" "S. cerevisiae" "CCR4 Associated Factor" "1932" "YKR036C" "S000001744" "ORF"
"YML018C" "MATCH" "1" "" "S. cerevisiae" "" "1182" "YML018C" "S000004480" "ORF"
"YIL084C" "MATCH" "1" "SDS3" "S. cerevisiae" "Suppressor of Defective Silencing" "984" "YIL084C" "S000001346" "ORF"
"YOL041C" "MATCH" "1" "NOP12" "S. cerevisiae" "NucleOlar Protein" "1380" "YOL041C" "S000005401" "ORF"
"YCR089W" "MATCH" "1" "FIG2" "S. cerevisiae" "Factor-Induced Gene" "4830" "YCR089W" "S000000685" "ORF"
"YDR210W-B" "MATCH" "1" "" "S. cerevisiae" "" "" "YDR210W-B" "S000007393" "TransposableElementGene"
"YNL209W" "MATCH" "1" "SSB2" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YNL209W" "S000005153" "ORF"
"YHR161C" "MATCH" "1" "YAP1801" "S. cerevisiae" "Yeast Assembly Polypeptide" "1914" "YHR161C" "S000001204" "ORF"
"YJL010C" "MATCH" "1" "NOP9" "S. cerevisiae" "NucleOlar Protein" "2001" "YJL010C" "S000003547" "ORF"
"YDR148C" "MATCH" "1" "KGD2" "S. cerevisiae" "alpha-KetoGlutarate Dehydrogenase" "1392" "YDR148C" "S000002555" "ORF"
"YDR450W" "MATCH" "1" "RPS18A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "876" "YDR450W" "S000002858" "ORF"
"YOL042W" "MATCH" "1" "NGL1" "S. cerevisiae" "" "1092" "YOL042W" "S000005402" "ORF"
"YMR192W" "MATCH" "1" "GYL1" "S. cerevisiae" "GYp Like" "2163" "YMR192W" "S000004804" "ORF"
"YJR061W" "MATCH" "1" "MNN14" "S. cerevisiae" "MaNNosyltransferase regulator" "2808" "YJR061W" "S000003822" "ORF"
"YKL113C" "MATCH" "1" "RAD27" "S. cerevisiae" "RADiation sensitive" "1149" "YKL113C" "S000001596" "ORF"
"YOR093C" "MATCH" "1" "CMR2" "S. cerevisiae" "Changed Mutation Rate" "4947" "YOR093C" "S000005619" "ORF"
"YDR454C" "MATCH" "1" "GUK1" "S. cerevisiae" "GUanylate Kinase" "564" "YDR454C" "S000002862" "ORF"
"YAL049C" "MATCH" "1" "AIM2" "S. cerevisiae" "Altered Inheritance rate of Mitochondria" "741" "YAL049C" "S000000047" "ORF"
"YJR062C" "MATCH" "1" "NTA1" "S. cerevisiae" "N-Terminal Amidase" "1374" "YJR062C" "S000003823" "ORF"
"YJL143W" "MATCH" "1" "TIM17" "S. cerevisiae" "Translocase of the Inner Mitochondrial membrane" "477" "YJL143W" "S000003679" "ORF"
"YBR242W" "MATCH" "1" "" "S. cerevisiae" "" "717" "YBR242W" "S000000446" "ORF"
"YCR088W" "MATCH" "1" "ABP1" "S. cerevisiae" "Actin Binding Protein" "1779" "YCR088W" "S000000684" "ORF"
"YLR357W" "MATCH" "1" "RSC2" "S. cerevisiae" "Remodel the Structure of Chromatin" "2670" "YLR357W" "S000004349" "ORF"
"YLR224W" "MATCH" "1" "UCC1" "S. cerevisiae" "Ubiquitination of Citrate synthase in the glyoxylate Cycle" "1110" "YLR224W" "S000004214" "ORF"
"YEL060C" "MATCH" "1" "PRB1" "S. cerevisiae" "PRoteinase B" "1908" "YEL060C" "S000000786" "ORF"
"YJL011C" "MATCH" "1" "RPC17" "S. cerevisiae" "RNA Polymerase C" "486" "YJL011C" "S000003548" "ORF"
"YLR225C" "MATCH" "1" "" "S. cerevisiae" "" "1224" "YLR225C" "S000004215" "ORF"
"YOR092W" "MATCH" "1" "ECM3" "S. cerevisiae" "ExtraCellular Mutant" "1842" "YOR092W" "S000005618" "ORF"
"YDR018C" "MATCH" "1" "" "S. cerevisiae" "" "1191" "YDR018C" "S000002425" "ORF"
"YMR060C" "MATCH" "1" "SAM37" "S. cerevisiae" "Sorting and Assembly Machinery" "984" "YMR060C" "S000004664" "ORF"
"YBR243C" "MATCH" "1" "ALG7" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1347" "YBR243C" "S000000447" "ORF"
"YNL208W" "MATCH" "1" "" "S. cerevisiae" "" "600" "YNL208W" "S000005152" "ORF"
"YMR193W" "MATCH" "1" "MRPL24" "S. cerevisiae" "Mitochondrial Ribosomal Protein, Large subunit" "777" "YMR193W" "S000004806" "ORF"
"Q0250" "MATCH" "1" "COX2" "S. cerevisiae" "Cytochrome c OXidase" "756" "Q0250" "S000007281" "ORF"
"YPR069C" "MATCH" "1" "SPE3" "S. cerevisiae" "SPErmidine auxotroph" "882" "YPR069C" "S000006273" "ORF"
"YJR060W" "MATCH" "1" "CBF1" "S. cerevisiae" "Centromere Binding Factor" "1056" "YJR060W" "S000003821" "ORF"
"YKL114C" "MATCH" "1" "APN1" "S. cerevisiae" "APurinic/apyrimidinic eNdonuclease" "1104" "YKL114C" "S000001597" "ORF"
"YAL048C" "MATCH" "1" "GEM1" "S. cerevisiae" "GTPase EF-hand protein of Mitochondria" "1989" "YAL048C" "S000000046" "ORF"
"YDR453C" "MATCH" "1" "TSA2" "S. cerevisiae" "Thiol-Specific Antioxidant" "591" "YDR453C" "S000002861" "ORF"
"YLR359W" "MATCH" "1" "ADE13" "S. cerevisiae" "ADEnine requiring" "1449" "YLR359W" "S000004351" "ORF"
"YOR319W" "MATCH" "1" "HSH49" "S. cerevisiae" "Human Sap Homolog" "642" "YOR319W" "S000005846" "ORF"
"YKR038C" "MATCH" "1" "KAE1" "S. cerevisiae" "Kinase-Associated Endopeptidase" "1161" "YKR038C" "S000001746" "ORF"
"YBR110W" "MATCH" "1" "ALG1" "S. cerevisiae" "Asparagine-Linked Glycosylation" "1350" "YBR110W" "S000000314" "ORF"
"YCL038C" "MATCH" "1" "ATG22" "S. cerevisiae" "AuTophaGy related" "1587" "YCL038C" "S000000543" "ORF"
"YDL226C" "MATCH" "1" "GCS1" "S. cerevisiae" "Growth Cold Sensitive" "1059" "YDL226C" "S000002385" "ORF"
"YOL043C" "MATCH" "1" "NTG2" "S. cerevisiae" "eNdonuclease Three-like Glycosylase" "1143" "YOL043C" "S000005403" "ORF"
"YJL144W" "MATCH" "1" "ROQ1" "S. cerevisiae" "Regulator Of Quality control" "315" "YJL144W" "S000003680" "ORF"
"YDR320C" "MATCH" "1" "SWA2" "S. cerevisiae" "Synthetic lethal With Arf1" "2007" "YDR320C" "S000002728" "ORF"
"YEL061C" "MATCH" "1" "CIN8" "S. cerevisiae" "Chromosome INstability" "3003" "YEL061C" "S000000787" "ORF"
"YOR091W" "MATCH" "1" "TMA46" "S. cerevisiae" "Translation Machinery Associated" "1038" "YOR091W" "S000005617" "ORF"
"YHR030C" "MATCH" "1" "SLT2" "S. cerevisiae" "Suppressor of the LyTic phenotype" "1455" "YHR030C" "S000001072" "ORF"
"YPL183W-A" "MATCH" "1" "RTC6" "S. cerevisiae" "Restriction of Telomere Capping" "282" "YPL183W-A" "S000007224" "ORF"
"YDL225W" "MATCH" "1" "SHS1" "S. cerevisiae" "Seventh Homolog of Septin" "1656" "YDL225W" "S000002384" "ORF"
"YDR017C" "MATCH" "1" "KCS1" "S. cerevisiae" "pKC1 Suppressor" "3153" "YDR017C" "S000002424" "ORF"
"YJL012C" "MATCH" "1" "VTC4" "S. cerevisiae" "Vacuolar Transporter Chaperone" "2166" "YJL012C" "S000003549" "ORF"
"YDR452W" "MATCH" "1" "PPN1" "S. cerevisiae" "" "2025" "YDR452W" "S000002860" "ORF"
"YNL207W" "MATCH" "1" "RIO2" "S. cerevisiae" "RIght Open reading frame" "1278" "YNL207W" "S000005151" "ORF"
"YDR011W" "MATCH" "1" "SNQ2" "S. cerevisiae" "Sensitivity to 4-NitroQuinoline-N-oxide" "4506" "YDR011W" "S000002418" "ORF"
"YOL044W" "MATCH" "1" "PEX15" "S. cerevisiae" "PEroXisome related" "1152" "YOL044W" "S000005404" "ORF"
"YMR194W" "MATCH" "1" "RPL36A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "766" "YMR194W" "S000004807" "ORF"
"YMR061W" "MATCH" "1" "RNA14" "S. cerevisiae" "poly(A) mRNA metabolism" "2034" "YMR061W" "S000004665" "ORF"
"YKL119C" "MATCH" "1" "VPH2" "S. cerevisiae" "Vacuolar pH" "648" "YKL119C" "S000001602" "ORF"
"YCR086W" "MATCH" "1" "CSM1" "S. cerevisiae" "Chromosome Segregation in Meiosis" "573" "YCR086W" "S000000682" "ORF"
"YIL080W" "MATCH" "1" "" "S. cerevisiae" "" "" "YIL080W" "S000001342" "Pseudogene"
"YGL184C" "MATCH" "1" "STR3" "S. cerevisiae" "Sulfur TRansfer" "1398" "YGL184C" "S000003152" "ORF"
"YCL032W" "MATCH" "1" "STE50" "S. cerevisiae" "STErile" "1041" "YCL032W" "S000000537" "ORF"
"YBR249C" "MATCH" "1" "ARO4" "S. cerevisiae" "AROmatic amino acid requiring" "1113" "YBR249C" "S000000453" "ORF"
"YCL033C" "MATCH" "1" "MXR2" "S. cerevisiae" "peptide Methionine sulfoXide Reductase" "507" "YCL033C" "S000000538" "ORF"
"YML015C" "MATCH" "1" "TAF11" "S. cerevisiae" "TATA binding protein-Associated Factor" "1041" "YML015C" "S000004477" "ORF"
"YGL050W" "MATCH" "1" "TYW3" "S. cerevisiae" "Trna-YW synthesizing protein" "822" "YGL050W" "S000003018" "ORF"
"YPR158W-A" "MATCH" "1" "" "S. cerevisiae" "" "" "YPR158W-A" "S000007363" "TransposableElementGene"
"YPR158W-B" "MATCH" "1" "" "S. cerevisiae" "" "" "YPR158W-B" "S000007364" "TransposableElementGene"
"YLR401C" "MATCH" "1" "DUS3" "S. cerevisiae" "DihydroUridine Synthase" "2007" "YLR401C" "S000004393" "ORF"
"YMR195W" "MATCH" "1" "ICY1" "S. cerevisiae" "Interacting with the CYtoskeleton" "384" "YMR195W" "S000004808" "ORF"
"YOL045W" "MATCH" "1" "PSK2" "S. cerevisiae" "Pas domain-containing Serine/threonine protein Kinase" "3306" "YOL045W" "S000005405" "ORF"
"YOR098C" "MATCH" "1" "NUP1" "S. cerevisiae" "NUclear Pore" "3231" "YOR098C" "S000005624" "ORF"
"YEL062W" "MATCH" "1" "NPR2" "S. cerevisiae" "Nitrogen Permease Regulator" "1848" "YEL062W" "S000000788" "ORF"
"YML014W" "MATCH" "1" "TRM9" "S. cerevisiae" "TRna Methyltransferase" "840" "YML014W" "S000004476" "ORF"
"YGL183C" "MATCH" "1" "MND1" "S. cerevisiae" "Meiotic Nuclear Divisions" "743" "YGL183C" "S000003151" "ORF"
"YBR117C" "MATCH" "1" "TKL2" "S. cerevisiae" "TransKetoLase" "2046" "YBR117C" "S000000321" "ORF"
"YDR144C" "MATCH" "1" "MKC7" "S. cerevisiae" "Multicopy suppressor of Kex2 Cold sensitivity" "1791" "YDR144C" "S000002551" "ORF"
"YDR277C" "MATCH" "1" "MTH1" "S. cerevisiae" "MSN Three Homolog" "1302" "YDR277C" "S000002685" "ORF"
"YEL063C" "MATCH" "1" "CAN1" "S. cerevisiae" "CANavanine resistance" "1773" "YEL063C" "S000000789" "ORF"
"YMR063W" "MATCH" "1" "RIM9" "S. cerevisiae" "Regulator of IME2" "720" "YMR063W" "S000004667" "ORF"
"YOR097C" "MATCH" "1" "" "S. cerevisiae" "" "528" "YOR097C" "S000005623" "ORF"
"YDR013W" "MATCH" "1" "PSF1" "S. cerevisiae" "Partner of Sld Five" "627" "YDR013W" "S000002420" "ORF"
"YDL229W" "MATCH" "1" "SSB1" "S. cerevisiae" "Stress-Seventy subfamily B" "1842" "YDL229W" "S000002388" "ORF"
"YDR279W" "MATCH" "1" "RNH202" "S. cerevisiae" "RNase H" "1053" "YDR279W" "S000002687" "ORF"
"YKR034W" "MATCH" "1" "DAL80" "S. cerevisiae" "Degradation of Allantoin" "810" "YKR034W" "S000001742" "ORF"
"YBR246W" "MATCH" "1" "RRT2" "S. cerevisiae" "Regulator of rDNA Transcription" "1164" "YBR246W" "S000000450" "ORF"
"YML017W" "MATCH" "1" "PSP2" "S. cerevisiae" "Polymerase SuPpressor" "2144" "YML017W" "S000004479" "ORF"
"YCL034W" "MATCH" "1" "LSB5" "S. cerevisiae" "Las Seventeen Binding protein" "1065" "YCL034W" "S000000539" "ORF"
"YMR196W" "MATCH" "1" "" "S. cerevisiae" "" "3267" "YMR196W" "S000004809" "ORF"
"YGR019W" "MATCH" "1" "UGA1" "S. cerevisiae" "Utilization of GAba" "1416" "YGR019W" "S000003251" "ORF"
"YBR247C" "MATCH" "1" "ENP1" "S. cerevisiae" "Essential Nuclear Protein" "1452" "YBR247C" "S000000451" "ORF"
"YGL181W" "MATCH" "1" "GTS1" "S. cerevisiae" "Glycine Threonine Serine repeat protein" "1191" "YGL181W" "S000003149" "ORF"
"YOR096W" "MATCH" "1" "RPS7A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "974" "YOR096W" "S000005622" "ORF"
"YKL117W" "MATCH" "1" "SBA1" "S. cerevisiae" "increased Sensitivity to Benzoquinone Ansamycins" "651" "YKL117W" "S000001600" "ORF"
"YCL035C" "MATCH" "1" "GRX1" "S. cerevisiae" "GlutaRedoXin" "333" "YCL035C" "S000000540" "ORF"
"YMR197C" "MATCH" "1" "VTI1" "S. cerevisiae" "Vps10 (Ten) Interacting" "654" "YMR197C" "S000004810" "ORF"
"YEL064C" "MATCH" "1" "AVT2" "S. cerevisiae" "Amino acid Vacuolar Transport" "1443" "YEL064C" "S000000790" "ORF"
"YLR229C" "MATCH" "1" "CDC42" "S. cerevisiae" "Cell Division Cycle" "576" "YLR229C" "S000004219" "ORF"
"YDR145W" "MATCH" "1" "TAF12" "S. cerevisiae" "TATA binding protein-Associated Factor" "1620" "YDR145W" "S000002552" "ORF"
"YDR012W" "MATCH" "1" "RPL4B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "1089" "YDR012W" "S000002419" "ORF"
"YPR110C" "MATCH" "1" "RPC40" "S. cerevisiae" "RNA Polymerase C" "1008" "YPR110C" "S000006314" "ORF"
"YCR084C" "MATCH" "1" "TUP1" "S. cerevisiae" "dTMP-UPtake" "2142" "YCR084C" "S000000680" "ORF"
"YJL141C" "MATCH" "1" "YAK1" "S. cerevisiae" "Yet Another Kinase" "2424" "YJL141C" "S000003677" "ORF"
"YBR114W" "MATCH" "1" "RAD16" "S. cerevisiae" "RADiation sensitive" "2373" "YBR114W" "S000000318" "ORF"
"YMR064W" "MATCH" "1" "AEP1" "S. cerevisiae" "ATPase ExPression" "1557" "YMR064W" "S000004668" "ORF"
"YJL140W" "MATCH" "1" "RPB4" "S. cerevisiae" "RNA Polymerase B" "666" "YJL140W" "S000003676" "ORF"
"YML016C" "MATCH" "1" "PPZ1" "S. cerevisiae" "Protein Phosphatase Z" "2079" "YML016C" "S000004478" "ORF"
"YBR248C" "MATCH" "1" "HIS7" "S. cerevisiae" "HIStidine requiring" "1659" "YBR248C" "S000000452" "ORF"
"YBR115C" "MATCH" "1" "LYS2" "S. cerevisiae" "LYSine requiring" "4179" "YBR115C" "S000000319" "ORF"
"YGL180W" "MATCH" "1" "ATG1" "S. cerevisiae" "AuTophaGy related" "2694" "YGL180W" "S000003148" "ORF"
"YDR146C" "MATCH" "1" "SWI5" "S. cerevisiae" "SWItching deficient" "2130" "YDR146C" "S000002553" "ORF"
"YCR100C" "MATCH" "1" "EMA35" "S. cerevisiae" "Efficient Mitochondria targeting-Associated protein" "951" "YCR100C" "S000000697" "ORF"
"YIL153W" "MATCH" "1" "RRD1" "S. cerevisiae" "Resistant to Rapamycin Deletion" "1182" "YIL153W" "S000001415" "ORF"
"YCL009C" "MATCH" "1" "ILV6" "S. cerevisiae" "IsoLeucine Valine" "930" "YCL009C" "S000000515" "ORF"
"YGR029W" "MATCH" "1" "ERV1" "S. cerevisiae" "Essential for Respiration and Viability" "653" "YGR029W" "S000003261" "ORF"
"YJR144W" "MATCH" "1" "MGM101" "S. cerevisiae" "Mitochondrial Genome Maintenance" "810" "YJR144W" "S000003905" "ORF"
"YIL154C" "MATCH" "1" "IMP2'" "S. cerevisiae" "Independent of Mitochondrial Particle" "1041" "YIL154C" "S000001416" "ORF"
"YLL051C" "MATCH" "1" "FRE6" "S. cerevisiae" "Ferric REductase" "2139" "YLL051C" "S000003974" "ORF"
"YGL108C" "MATCH" "1" "" "S. cerevisiae" "" "423" "YGL108C" "S000003076" "ORF"
"YNL323W" "MATCH" "1" "LEM3" "S. cerevisiae" "Ligand-Effect Modulator" "1245" "YNL323W" "S000005267" "ORF"
"YJL222W" "MATCH" "1" "VTH2" "S. cerevisiae" "Vps Ten Homolog" "4650" "YJL222W" "S000003758" "ORF"
"YBR030W" "MATCH" "1" "RKM3" "S. cerevisiae" "Ribosomal lysine (K) Methyltransferase" "1659" "YBR030W" "S000000234" "ORF"
"YJR012C" "MATCH" "1" "" "S. cerevisiae" "" "624" "YJR012C" "S000003773" "ORF"
"YBR164C" "MATCH" "1" "ARL1" "S. cerevisiae" "ADP-Ribosylation factor-Like" "552" "YBR164C" "S000000368" "ORF"
"YGR200C" "MATCH" "1" "ELP2" "S. cerevisiae" "ELongator Protein" "2367" "YGR200C" "S000003432" "ORF"
"YJR145C" "MATCH" "1" "RPS4A" "S. cerevisiae" "Ribosomal Protein of the Small subunit" "1042" "YJR145C" "S000003906" "ORF"
"YML120C" "MATCH" "1" "NDI1" "S. cerevisiae" "NADH Dehydrogenase Internal" "1542" "YML120C" "S000004589" "ORF"
"YEL054C" "MATCH" "1" "RPL12A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "498" "YEL054C" "S000000780" "ORF"
"YKL208W" "MATCH" "1" "CBT1" "S. cerevisiae" "Cytochrome B Termination" "816" "YKL208W" "S000001691" "ORF"
"YDR303C" "MATCH" "1" "RSC3" "S. cerevisiae" "Remodel the Structure of Chromatin" "2658" "YDR303C" "S000002711" "ORF"
"YPL283C" "MATCH" "1" "YRF1-7" "S. cerevisiae" "" "5728" "YPL283C" "S000006204" "ORF"
"YPR070W" "MATCH" "1" "MED1" "S. cerevisiae" "MEDiator complex" "1701" "YPR070W" "S000006274" "ORF"
"YJR010W" "MATCH" "1" "MET3" "S. cerevisiae" "METhionine requiring" "1536" "YJR010W" "S000003771" "ORF"
"YDR435C" "MATCH" "1" "PPM1" "S. cerevisiae" "Protein Phosphatase Methyltransferase" "987" "YDR435C" "S000002843" "ORF"
"YDR301W" "MATCH" "1" "CFT1" "S. cerevisiae" "Cleavage Factor Two" "4074" "YDR301W" "S000002709" "ORF"
"YIL152W" "MATCH" "1" "" "S. cerevisiae" "" "708" "YIL152W" "S000001414" "ORF"
"YNL019C" "MATCH" "1" "" "S. cerevisiae" "" "855" "YNL019C" "S000004964" "ORF"
"YCL008C" "MATCH" "1" "STP22" "S. cerevisiae" "STerile Pseudoreversion" "1158" "YCL008C" "S000000514" "ORF"
"YKL209C" "MATCH" "1" "STE6" "S. cerevisiae" "STErile" "3873" "YKL209C" "S000001692" "ORF"
"YMR042W" "MATCH" "1" "ARG80" "S. cerevisiae" "ARGinine requiring" "534" "YMR042W" "S000004645" "ORF"
"YLL052C" "MATCH" "1" "AQY2" "S. cerevisiae" "AQuaporin from Yeast" "450" "YLL052C" "S000003975" "ORF"
"YIL020C" "MATCH" "1" "HIS6" "S. cerevisiae" "HIStidine requiring" "786" "YIL020C" "S000001282" "ORF"
"YPL150W" "MATCH" "1" "" "S. cerevisiae" "" "2706" "YPL150W" "S000006071" "ORF"
"YBR031W" "MATCH" "1" "RPL4A" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "1089" "YBR031W" "S000000235" "ORF"
"YCR024C-A" "MATCH" "1" "PMP1" "S. cerevisiae" "Plasma Membrane Proteolipid" "123" "YCR024C-A" "S000000619" "ORF"
"YDR434W" "MATCH" "1" "GPI17" "S. cerevisiae" "GlycosylPhosphatidylInositol anchor biosynthesis" "1605" "YDR434W" "S000002842" "ORF"
"YGR201C" "MATCH" "1" "" "S. cerevisiae" "" "678" "YGR201C" "S000003433" "ORF"
"YEL055C" "MATCH" "1" "POL5" "S. cerevisiae" "POLymerase" "3069" "YEL055C" "S000000781" "ORF"
"YBR298C" "MATCH" "1" "MAL31" "S. cerevisiae" "MALtose fermentation" "1845" "YBR298C" "S000000502" "ORF"
"YJR011C" "MATCH" "1" "" "S. cerevisiae" "" "786" "YJR011C" "S000003772" "ORF"
"YPL151C" "MATCH" "1" "PRP46" "S. cerevisiae" "Pre-mRNA Processing" "1356" "YPL151C" "S000006072" "ORF"
"YGL106W" "MATCH" "1" "MLC1" "S. cerevisiae" "Myosin Light Chain" "450" "YGL106W" "S000003074" "ORF"
"YKL206C" "MATCH" "1" "ADD66" "S. cerevisiae" "Alpha1-proteinase inhibitor-Degradation Deficient" "804" "YKL206C" "S000001689" "ORF"
"YNL018C" "MATCH" "1" "" "S. cerevisiae" "" "1839" "YNL018C" "S000004963" "ORF"
"YOR009W" "MATCH" "1" "TIR4" "S. cerevisiae" "TIp1-Related" "1464" "YOR009W" "S000005535" "ORF"
"YMR043W" "MATCH" "1" "MCM1" "S. cerevisiae" "MiniChromosome Maintenance" "861" "YMR043W" "S000004646" "ORF"
"YMR176W" "MATCH" "1" "ECM5" "S. cerevisiae" "ExtraCellular Mutant" "4236" "YMR176W" "S000004788" "ORF"
"YBR161W" "MATCH" "1" "CSH1" "S. cerevisiae" "CSG1/SUR1 Homolog" "1131" "YBR161W" "S000000365" "ORF"
"YDL209C" "MATCH" "1" "CWC2" "S. cerevisiae" "Complexed With Cef1p" "1020" "YDL209C" "S000002368" "ORF"
"YPL280W" "MATCH" "1" "HSP32" "S. cerevisiae" "Heat-Shock Protein" "714" "YPL280W" "S000006201" "ORF"
"YDR437W" "MATCH" "1" "GPI19" "S. cerevisiae" "Glycosyl PhosphatidylInositol anchor biosynthesis" "423" "YDR437W" "S000002845" "ORF"
"YNL321W" "MATCH" "1" "VNX1" "S. cerevisiae" "Vacuolar Na+/H+ eXchanger" "2727" "YNL321W" "S000005265" "ORF"
"YPR074C" "MATCH" "1" "TKL1" "S. cerevisiae" "TransKetoLase" "2043" "YPR074C" "S000006278" "ORF"
"YBR162C" "MATCH" "1" "TOS1" "S. cerevisiae" "Target Of Sbf" "1368" "YBR162C" "S000000366" "ORF"
"YDR305C" "MATCH" "1" "HNT2" "S. cerevisiae" "Histidine triad NucleoTide-binding" "743" "YDR305C" "S000002713" "ORF"
"YJL225C" "MATCH" "1" "" "S. cerevisiae" "" "5665" "YJL225C" "S000003760" "ORF"
"YJR143C" "MATCH" "1" "PMT4" "S. cerevisiae" "Protein O-MannosylTransferase" "2289" "YJR143C" "S000003904" "ORF"
"YOR312C" "MATCH" "1" "RPL20B" "S. cerevisiae" "Ribosomal Protein of the Large subunit" "945" "YOR312C" "S000005839" "ORF"
"YJR141W" "MATCH" "1" "IPA1" "S. cerevisiae" "Important for cleavage and PolyAdenylation" "1044" "YJR141W" "S000003902" "ORF"
"YGL105W" "MATCH" "1" "ARC1" "S. cerevisiae" "Aminoacyl-tRNA synthetase Cofactor" "1131" "YGL105W" "S000003073" "ORF"
"YGL238W" "MATCH" "1" "CSE1" "S. cerevisiae" "Chromosome SEgregation" "2883" "YGL238W" "S000003207" "ORF"
"YEL056W" "MATCH" "1" "HAT2" "S. cerevisiae" "Histone AcetylTransferase" "1206" "YEL056W" "S000000782" "ORF"
"YGR028W" "MATCH" "1" "MSP1" "S. cerevisiae" "Mitochondrial Sorting of Proteins" "1089" "YGR028W" "S000003260" "ORF"
"YML121W" "MATCH" "1" "GTR1" "S. cerevisiae" "GTp binding protein Resemblance" "933" "YML121W" "S000004590" "ORF"
