Entry	Entry name	Status	Protein names	Gene names	Organism	Length
A0A1N7SYU0	A0A1N7SYU0_CAEEL	unreviewed	EF-hand domain-containing protein	unc-2 CELE_T02C5.5 T02C5.5	Caenorhabditis elegans	2065
A0A0K3AUY7	A0A0K3AUY7_CAEEL	unreviewed	Uncharacterized protein	CELE_H24K24.2 H24K24.2	Caenorhabditis elegans	328
D0G914	D0G914_CAEEL	unreviewed	Uncharacterized protein	daf-42 CELE_Y40C5A.3 Y40C5A.3	Caenorhabditis elegans	2340
E3CTH3	E3CTH3_CAEEL	unreviewed	Uncharacterized protein	CELE_Y32B12B.1 Y32B12B.1	Caenorhabditis elegans	138
O61754	O61754_CAEEL	unreviewed	Uncharacterized protein	CELE_F56C3.4 F56C3.4	Caenorhabditis elegans	289
O16917	O16917_CAEEL	unreviewed	Uncharacterized protein	CELE_F10D2.8 F10D2.8	Caenorhabditis elegans	124
Q8IFX8	Q8IFX8_CAEEL	unreviewed	Tubulin folding COfactor E-Like protein	coel-1 C52B9.3 CELE_C52B9.3	Caenorhabditis elegans	418
G4SBR5	G4SBR5_CAEEL	unreviewed	Uncharacterized protein	CELE_EGAP1.1 EGAP1.1	Caenorhabditis elegans	306
A0A0K3AST7	A0A0K3AST7_CAEEL	unreviewed	SyNapTotagmin	snt-5 CELE_R12A1.2 R12A1.2	Caenorhabditis elegans	361
A0A0M7RE93	A0A0M7RE93_CAEEL	unreviewed	B box-type domain-containing protein	nhl-3 CELE_W04H10.3 W04H10.3	Caenorhabditis elegans	446
U4PRE0	U4PRE0_CAEEL	unreviewed	Uncharacterized protein	unc-49 CELE_T21C12.1 T21C12.1	Caenorhabditis elegans	319
Q20746	Q20746_CAEEL	unreviewed	Uncharacterized protein	CELE_F54B11.8 F54B11.8	Caenorhabditis elegans	141
A0A0K3ATT1	A0A0K3ATT1_CAEEL	unreviewed	RRM domain-containing protein	fog-1 CELE_Y54E10A.4 Y54E10A.4	Caenorhabditis elegans	350
D5MCP7	D5MCP7_CAEEL	unreviewed	C2H2-type domain-containing protein	CELE_R10E4.11 R10E4.11	Caenorhabditis elegans	162
Q8IAA4	Q8IAA4_CAEEL	unreviewed	PHd Finger family	phf-15 CELE_Y53G8AR.2 Y53G8AR.2	Caenorhabditis elegans	700
Q9BKR1	Q9BKR1_CAEEL	unreviewed	CP-type G domain-containing protein	CELE_Y67D2.4 Y67D2.4	Caenorhabditis elegans	123
G1K0X9	G1K0X9_CAEEL	unreviewed	Uncharacterized protein	C11E4.7 CELE_C11E4.7	Caenorhabditis elegans	343
H9G2X8	H9G2X8_CAEEL	unreviewed	Protein YIPF	CELE_F32D8.14 F32D8.14	Caenorhabditis elegans	236
Q9XVK6	Q9XVK6_CAEEL	unreviewed	WH2 domain-containing protein	wve-1 CELE_R06C1.3 R06C1.3	Caenorhabditis elegans	468
U4PM21	U4PM21_CAEEL	unreviewed	Col_cuticle_N domain-containing protein	col-111 CELE_F29B9.9 F29B9.9	Caenorhabditis elegans	221
V6CLZ2	V6CLZ2_CAEEL	unreviewed	Uncharacterized protein	CELE_Y34D9A.3 Y34D9A.3	Caenorhabditis elegans	371
Q9U294	Q9U294_CAEEL	unreviewed	Diphosphomevalonate decarboxylase (EC 4.1.1.33)	CELE_Y48B6A.13 Y48B6A.13	Caenorhabditis elegans	377
F3Y5Q7	F3Y5Q7_CAEEL	unreviewed	Suppressor of PAr-Two defect	spat-2 CELE_Y48A6B.13 Y48A6B.13	Caenorhabditis elegans	601
Q9TXY0	Q9TXY0_CAEEL	unreviewed	Lon proteolytic domain-containing protein	CELE_F46F5.5 F46F5.5	Caenorhabditis elegans	252
Q7YZM9	Q7YZM9_CAEEL	unreviewed	MFS domain-containing protein	CELE_Y53G8AR.7 Y53G8AR.7	Caenorhabditis elegans	73
Q8I4F3	Q8I4F3_CAEEL	unreviewed	PWI domain-containing protein	rbm-25 CELE_W04D2.6 W04D2.6	Caenorhabditis elegans	499
D3YT71	D3YT71_CAEEL	unreviewed	60S ribosomal protein L29	rpl-29 B0513.3 CELE_B0513.3	Caenorhabditis elegans	31
G5EBS9	G5EBS9_CAEEL	unreviewed	VPS9 domain-containing protein	rin-1 C48G7.3 CELE_C48G7.3	Caenorhabditis elegans	934
G5EEC4	G5EEC4_CAEEL	unreviewed	GAR domain-containing protein	vab-10 CELE_ZK1151.1 ZK1151.1	Caenorhabditis elegans	3694
P91993	P91993_CAEEL	unreviewed	MFS domain-containing protein	CELE_F32H5.4 F32H5.4	Caenorhabditis elegans	528
H9G305	H9G305_CAEEL	unreviewed	Uncharacterized protein	CELE_F53E4.1 F53E4.1	Caenorhabditis elegans	188
G5EF46	G5EF46_CAEEL	unreviewed	Peptidase_M28 domain-containing protein	CELE_H27A22.1 H27A22.1	Caenorhabditis elegans	342
W6RTQ3	W6RTQ3_CAEEL	unreviewed	Protein kinase domain-containing protein	pmk-3 CELE_F42G8.4 F42G8.4	Caenorhabditis elegans	300
U4PRG1	U4PRG1_CAEEL	unreviewed	CaDHerin family	cdh-8 CELE_F18F11.3 F18F11.3	Caenorhabditis elegans	1638
O44791	O44791_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	dmsr-4 CELE_D1069.4 D1069.4	Caenorhabditis elegans	379
Q688B2	Q688B2_CAEEL	unreviewed	Uncharacterized protein	unc-77 C11D2.6 CELE_C11D2.6	Caenorhabditis elegans	1861
F5GUB6	F5GUB6_CAEEL	unreviewed	Serpentine Receptor, class U	sru-40 CELE_R07B5.3 R07B5.3	Caenorhabditis elegans	57
U4PRQ4	U4PRQ4_CAEEL	unreviewed	Nuclear Hormone Receptor family	nhr-41 CELE_Y104H12A.1 Y104H12A.1	Caenorhabditis elegans	547
U4PAP4	U4PAP4_CAEEL	unreviewed	Leuk-A4-hydro_C domain-containing protein	ltah-1.2 CELE_ZC416.6 ZC416.6	Caenorhabditis elegans	534
Q2L6W4	Q2L6W4_CAEEL	unreviewed	EF-hand domain-containing protein	CELE_K03A1.4 K03A1.4	Caenorhabditis elegans	43
Q95PX0	Q95PX0_CAEEL	unreviewed	NCK (Non-Catalytic region of tyrosine Kinase) adaptor protein family	nck-1 CELE_ZK470.5 ZK470.5	Caenorhabditis elegans	397
H2KZV7	H2KZV7_CAEEL	unreviewed	Uncharacterized protein	CELE_T04C9.1 T04C9.1	Caenorhabditis elegans	863
A0A0K3AR63	A0A0K3AR63_CAEEL	unreviewed	Fork-head domain-containing protein	daf-16 CELE_R13H8.1 R13H8.1	Caenorhabditis elegans	485
A0A0K3AWR2	A0A0K3AWR2_CAEEL	unreviewed	C2H2-type domain-containing protein	sea-2 CELE_K10G6.3 K10G6.3	Caenorhabditis elegans	1680
K8ESN6	K8ESN6_CAEEL	unreviewed	Uncharacterized protein	CELE_T16G12.9 T16G12.9	Caenorhabditis elegans	371
G5EBW6	G5EBW6_CAEEL	unreviewed	Plant Late Embryo Abundant (LEA) related	lea-1 CELE_K08H10.1 K08H10.1	Caenorhabditis elegans	556
H2KZ94	H2KZ94_CAEEL	unreviewed	Lin-12 and Glp-1 X-hybridizing	lgx-1 C54G7.3 CELE_C54G7.3	Caenorhabditis elegans	1554
Q27526	Q27526_CAEEL	unreviewed	Beta-galactosidase (EC 3.2.1.23)	bgal-1 CELE_T19B10.3 T19B10.3	Caenorhabditis elegans	653
V6CLS1	V6CLS1_CAEEL	unreviewed	Biogenesis of lysosome-related organelles complex 1 subunit 2	blos-2 CELE_Y73B6BL.30 Y73B6BL.30	Caenorhabditis elegans	76
Q688Z4	Q688Z4_CAEEL	unreviewed	ATP-dependent RNA helicase	CELE_Y94H6A.5 Y94H6A.5	Caenorhabditis elegans	112
Q8I7L0	Q8I7L0_CAEEL	unreviewed	C3H1-type domain-containing protein	CELE_F10G7.9 F10G7.9	Caenorhabditis elegans	644
O16709	O16709_CAEEL	unreviewed	BTB domain-containing protein	CELE_F22E5.12 F22E5.12	Caenorhabditis elegans	247
Q93254	Q93254_CAEEL	unreviewed	Carboxyl ESTerase domain containing	cest-9.1 C23H4.3 CELE_C23H4.3	Caenorhabditis elegans	614
A0A0M7RF64	A0A0M7RF64_CAEEL	unreviewed	Recep_L_domain domain-containing protein	irld-32 CELE_F15E11.11 F15E11.11	Caenorhabditis elegans	139
G5EG71	G5EG71_CAEEL	unreviewed	VPS9 domain-containing protein	rin-1 C48G7.3 CELE_C48G7.3	Caenorhabditis elegans	1640
G5EEI5	G5EEI5_CAEEL	unreviewed	Basement membrane proteoglycan	unc-52 CELE_ZC101.2 ZC101.2	Caenorhabditis elegans	4075
U4PCI9	U4PCI9_CAEEL	unreviewed	LIn-26 Related	lir-1 CELE_F18A1.3 F18A1.3	Caenorhabditis elegans	236
Q5WRT5	Q5WRT5_CAEEL	unreviewed	Uncharacterized protein	CELE_R07E4.1 R07E4.1	Caenorhabditis elegans	1035
U4PEP3	U4PEP3_CAEEL	unreviewed	Mediator of RNA polymerase II transcription subunit 20 (Mediator complex subunit 20)	mdt-20 MED20 CELE_Y104H12D.1 Y104H12D.1	Caenorhabditis elegans	83
G5EDB1	G5EDB1_CAEEL	unreviewed	Serine Rich Adhesion Protein-like	srap-1 CELE_T06D8.1 T06D8.1	Caenorhabditis elegans	3421
A0A2C9C3E7	A0A2C9C3E7_CAEEL	unreviewed	BZIP domain-containing protein	jun-1 CELE_T24H10.7 T24H10.7	Caenorhabditis elegans	175
U4PQT4	U4PQT4_CAEEL	unreviewed	Uncharacterized protein	CELE_Y54G2A.16 Y54G2A.16	Caenorhabditis elegans	126
Q22816	Q22816_CAEEL	unreviewed	Uncharacterized protein	CELE_T26C5.3 T26C5.3	Caenorhabditis elegans	607
Q19814	Q19814_CAEEL	unreviewed	Serpentine Receptor, class H	srh-76 CELE_F26F12.6 F26F12.6	Caenorhabditis elegans	83
A0A061AD24	A0A061AD24_CAEEL	unreviewed	DMAP-interaction domain-containing protein	dip-2 CELE_F28B3.4 F28B3.4	Caenorhabditis elegans	1539
G4SNJ8	G4SNJ8_CAEEL	unreviewed	WW domain-containing protein	CELE_Y92H12BM.1 Y92H12BM.1	Caenorhabditis elegans	186
G8JYE4	G8JYE4_CAEEL	unreviewed	Glutamate carboxypeptidase 2 homolog	gcp-2.1 CELE_R57.1 R57.1	Caenorhabditis elegans	751
A0A061AJK8	A0A061AJK8_CAEEL	unreviewed	Ankyrin repeat and KH domain-containing protein mask-1	mask-1 CELE_R11A8.7 R11A8.7	Caenorhabditis elegans	2604
X5LX78	X5LX78_CAEEL	unreviewed	Translocase, Inner Mitochondrial Membrane	timm-17b.2 timm-17B.2 CELE_D2096.1 D2096.1	Caenorhabditis elegans	82
A0A0K3ARN1	A0A0K3ARN1_CAEEL	unreviewed	C2H2-type domain-containing protein	sea-2 CELE_K10G6.3 K10G6.3	Caenorhabditis elegans	1792
H2L0I5	H2L0I5_CAEEL	unreviewed	Phosphorylase b kinase regulatory subunit	CELE_Y67D8A.2 Y67D8A.2	Caenorhabditis elegans	1218
O16708	O16708_CAEEL	unreviewed	BTB domain-containing protein	CELE_F22E5.11 F22E5.11	Caenorhabditis elegans	225
W6RQY6	W6RQY6_CAEEL	unreviewed	Mitogen-activated protein kinase (EC 2.7.11.24)	pmk-2 CELE_F42G8.3 F42G8.3	Caenorhabditis elegans	194
A0A0S4XR36	A0A0S4XR36_CAEEL	unreviewed	UBR-type domain-containing protein	ubr-4 C44E4.1 CELE_C44E4.1	Caenorhabditis elegans	4218
Q7Z1R1	Q7Z1R1_CAEEL	unreviewed	Uncharacterized protein	CELE_F46H5.2 F46H5.2	Caenorhabditis elegans	374
Q7KX02	Q7KX02_CAEEL	unreviewed	Uncharacterized protein	CELE_Y97E10AR.2 Y97E10AR.2	Caenorhabditis elegans	634
Q8I7K3	Q8I7K3_CAEEL	unreviewed	Dilute domain-containing protein	hum-2 CELE_F36D4.3 F36D4.3	Caenorhabditis elegans	440
B1Q262	B1Q262_CAEEL	unreviewed	Uncharacterized protein	rdy-2 CELE_F53F4.6 F53F4.6	Caenorhabditis elegans	279
V6CLG6	V6CLG6_CAEEL	unreviewed	Netrin receptor unc-5	unc-5 B0273.4 CELE_B0273.4	Caenorhabditis elegans	657
G5EEF4	G5EEF4_CAEEL	unreviewed	TPR_REGION domain-containing protein	CELE_K09A9.6 K09A9.6	Caenorhabditis elegans	872
G4SN17	G4SN17_CAEEL	unreviewed	Uncharacterized protein	CELE_Y39F10C.1 Y39F10C.1	Caenorhabditis elegans	72
Q8MXH3	Q8MXH3_CAEEL	unreviewed	SERP1 homolog	serp-1.2 CELE_T09A12.5 T09A12.5	Caenorhabditis elegans	63
A0A061AD21	A0A061AD21_CAEEL	unreviewed	Laminin-like protein epi-1	epi-1 CELE_K08C7.3 K08C7.3	Caenorhabditis elegans	3695
Q9N302	Q9N302_CAEEL	unreviewed	AMP-binding domain-containing protein	acs-13 CELE_Y65B4BL.5 Y65B4BL.5	Caenorhabditis elegans	719
A0A0K3AV03	A0A0K3AV03_CAEEL	unreviewed	Serpentine Receptor, class BC (Class B-like)	srbc-12 CELE_K09C6.4 K09C6.4	Caenorhabditis elegans	257
A0A078BTI7	A0A078BTI7_CAEEL	unreviewed	Cyclin N-terminal domain-containing protein	CELE_Y71F9B.6 Y71F9B.6	Caenorhabditis elegans	60
Q1W0S5	Q1W0S5_CAEEL	unreviewed	Peptide-methionine (R)-S-oxide reductase (EC 1.8.4.12)	CELE_F44E2.6 F44E2.6	Caenorhabditis elegans	145
P91298	P91298_CAEEL	unreviewed	MATH (Meprin-associated Traf homology) domain containing	math-28 CELE_F36H5.3 F36H5.3	Caenorhabditis elegans	728
Q21864	Q21864_CAEEL	unreviewed	Glyco_18 domain-containing protein	chil-21 CELE_R09D1.8 R09D1.8	Caenorhabditis elegans	470
E5QCF7	E5QCF7_CAEEL	unreviewed	Uncharacterized protein	CELE_T05G5.5 T05G5.5	Caenorhabditis elegans	83
H9G335	H9G335_CAEEL	unreviewed	Uncharacterized protein	mlt-11 CELE_W01F3.3 W01F3.3	Caenorhabditis elegans	2382
S6DQ91	S6DQ91_CAEEL	unreviewed	MFS domain-containing protein	eat-4 CELE_ZK512.6 ZK512.6	Caenorhabditis elegans	555
G5EF05	G5EF05_CAEEL	unreviewed	Glutamine amidotransferase type-2 domain-containing protein	CELE_W07E11.1 W07E11.1	Caenorhabditis elegans	2175
G1K845	G1K845_CAEEL	unreviewed	SP-RING-type domain-containing protein	miz-1 CELE_R13.4 R13.4	Caenorhabditis elegans	634
U4PEK5	U4PEK5_CAEEL	unreviewed	CaDHerin family	cdh-8 CELE_F18F11.3 F18F11.3	Caenorhabditis elegans	1653
U4PE10	U4PE10_CAEEL	unreviewed	Degenerin unc-8	unc-8 CELE_R13A1.4 R13A1.4	Caenorhabditis elegans	776
Q19938	Q19938_CAEEL	unreviewed	Uncharacterized protein	CELE_F31E8.5 F31E8.5	Caenorhabditis elegans	472
Q5CZ41	Q5CZ41_CAEEL	unreviewed	CUB domain-containing protein	CELE_K08D8.4 K08D8.4	Caenorhabditis elegans	431
G3MVG9	G3MVG9_CAEEL	unreviewed	Uncharacterized protein	mec-9 C50H2.3 CELE_C50H2.3	Caenorhabditis elegans	502
H2L2B5	H2L2B5_CAEEL	unreviewed	Activin_recp domain-containing protein	AC3.12 CELE_AC3.12	Caenorhabditis elegans	94
A0A0K3AUI7	A0A0K3AUI7_CAEEL	unreviewed	Uncharacterized protein	CELE_F56E10.1 F56E10.1	Caenorhabditis elegans	2054
W6RRP4	W6RRP4_CAEEL	unreviewed	Nuclear Hormone Receptor family	nhr-66 CELE_T09A12.4 T09A12.4	Caenorhabditis elegans	517
G2HK16	G2HK16_CAEEL	unreviewed	Uncharacterized protein	CELE_Y66D12A.8 Y66D12A.8	Caenorhabditis elegans	194
Q2EEM6	Q2EEM6_CAEEL	unreviewed	Tyrosine-protein kinase (EC 2.7.10.2)	CELE_K09B11.5 K09B11.5	Caenorhabditis elegans	525
I2HAB2	I2HAB2_CAEEL	unreviewed	TSC Twenty-two domain containing	tsct-1 CELE_T18D3.7 T18D3.7	Caenorhabditis elegans	255
A0A1T5HUL2	A0A1T5HUL2_CAEEL	unreviewed	Protein memo-1 homolog (Fragment)	memo-1 C37C3.8 CELE_C37C3.8	Caenorhabditis elegans	388
O45984	O45984_CAEEL	unreviewed	Recep_L_domain domain-containing protein	irld-62 CELE_ZK1037.1 ZK1037.1	Caenorhabditis elegans	370
Q23124	Q23124_CAEEL	unreviewed	Kinesin motor domain-containing protein	klp-17 CELE_W02B12.7 W02B12.7	Caenorhabditis elegans	471
Q27512	Q27512_CAEEL	unreviewed	Annexin	nex-2 CELE_T07C4.9 T07C4.9	Caenorhabditis elegans	497
E1B6S0	E1B6S0_CAEEL	unreviewed	Equilibrative Nucleoside Transporter	ent-7 ent-4 CELE_F44D12.9 F44D12.9	Caenorhabditis elegans	161
Q8IFY1	Q8IFY1_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	srw-118 C44C3.5 CELE_C44C3.5	Caenorhabditis elegans	378
Q1W0R1	Q1W0R1_CAEEL	unreviewed	TransThyretin-Related family domain	ttr-38 CELE_F35G8.2 F35G8.2	Caenorhabditis elegans	141
Q18351	Q18351_CAEEL	unreviewed	BTB domain-containing protein	kvs-2 C32C4.1 CELE_C32C4.1	Caenorhabditis elegans	529
O76572	O76572_CAEEL	unreviewed	EPHeXin (Eph-interacting GEF) homolog	ephx-1 CELE_K07D4.7 K07D4.7	Caenorhabditis elegans	648
Q9TZ73	Q9TZ73_CAEEL	unreviewed	Uncharacterized protein	CELE_F40G9.6 F40G9.6	Caenorhabditis elegans	156
Q18152	Q18152_CAEEL	unreviewed	Uncharacterized protein	C25E10.5 CELE_C25E10.5	Caenorhabditis elegans	492
Q9XV73	Q9XV73_CAEEL	unreviewed	F-box domain-containing protein	CELE_F21D9.1 F21D9.1	Caenorhabditis elegans	367
O45547	O45547_CAEEL	unreviewed	SKN-1 Dependent Zygotic transcript	sdz-20 CELE_F53A2.2 F53A2.2	Caenorhabditis elegans	276
A0A0K3AX01	A0A0K3AX01_CAEEL	unreviewed	C2H2-type domain-containing protein	sea-2 CELE_K10G6.3 K10G6.3	Caenorhabditis elegans	1630
Q95XX7	Q95XX7_CAEEL	unreviewed	Uncharacterized protein	CELE_Y54G2A.10 Y54G2A.10	Caenorhabditis elegans	188
Q9XVA6	Q9XVA6_CAEEL	unreviewed	CYtochrome P450 family	cyp-37a1 cyp-37A1 CELE_F01D5.9 F01D5.9	Caenorhabditis elegans	508
O45871	O45871_CAEEL	unreviewed	Uncharacterized protein	CELE_T27F6.7 T27F6.7	Caenorhabditis elegans	257
Q22728	Q22728_CAEEL	unreviewed	Uncharacterized protein	CELE_T24C2.5 T24C2.5	Caenorhabditis elegans	177
Q2XMY6	Q2XMY6_CAEEL	unreviewed	F-box domain-containing protein	fbxa-142 CELE_F44G3.12 F44G3.12	Caenorhabditis elegans	412
Q20367	Q20367_CAEEL	unreviewed	JmjC domain-containing protein	jmjd-1.1 CELE_F43G6.6 F43G6.6	Caenorhabditis elegans	548
A0A061AKR0	A0A061AKR0_CAEEL	unreviewed	Uncharacterized protein	CELE_ZK897.10 ZK897.10	Caenorhabditis elegans	58
G5EG67	G5EG67_CAEEL	unreviewed	Uncharacterized protein	tag-10 C31C9.1 CELE_C31C9.1	Caenorhabditis elegans	473
Q18546	Q18546_CAEEL	unreviewed	SAP domain-containing protein	C39E9.12 CELE_C39E9.12	Caenorhabditis elegans	409
Q20838	Q20838_CAEEL	unreviewed	Uncharacterized protein	CELE_F55E10.2 F55E10.2	Caenorhabditis elegans	97
Q17447	Q17447_CAEEL	unreviewed	Amidase domain-containing protein	faah-2 B0218.2 CELE_B0218.2	Caenorhabditis elegans	571
Q17829	Q17829_CAEEL	unreviewed	Uncharacterized protein	C08F8.3 CELE_C08F8.3	Caenorhabditis elegans	400
O45068	O45068_CAEEL	unreviewed	Uncharacterized protein	C11D2.3 CELE_C11D2.3	Caenorhabditis elegans	245
Q9NET4	Q9NET4_CAEEL	unreviewed	SGNH_hydro domain-containing protein	CELE_Y39B6A.7 Y39B6A.7	Caenorhabditis elegans	394
A5A8P6	A5A8P6_CAEEL	unreviewed	WD_REPEATS_REGION domain-containing protein	CELE_Y54G2A.12 Y54G2A.12	Caenorhabditis elegans	274
H9G2X1	H9G2X1_CAEEL	unreviewed	LIPaSe related	lips-5 CELE_T12A7.4 T12A7.4	Caenorhabditis elegans	343
Q18187	Q18187_CAEEL	unreviewed	4HBT domain-containing protein	C25H3.3 CELE_C25H3.3	Caenorhabditis elegans	148
H2KYF0	H2KYF0_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	srx-92 CELE_F10G2.6 F10G2.6	Caenorhabditis elegans	321
A0A0K3AQS0	A0A0K3AQS0_CAEEL	unreviewed	Uncharacterized protein	CELE_W05F2.8 W05F2.8	Caenorhabditis elegans	90
Q22763	Q22763_CAEEL	unreviewed	NEPrilysin metallopeptidase family	nep-22 CELE_T25B6.2 T25B6.2	Caenorhabditis elegans	798
V6CKP5	V6CKP5_CAEEL	unreviewed	Tyrosine-protein phosphatase domain-containing protein	CELE_F42C5.5 F42C5.5	Caenorhabditis elegans	330
Q067X7	Q067X7_CAEEL	unreviewed	Uncharacterized protein	CELE_M199.9 M199.9	Caenorhabditis elegans	75
Q95X48	Q95X48_CAEEL	unreviewed	Uncharacterized protein	C35B1.7 CELE_C35B1.7	Caenorhabditis elegans	84
A0A4V0IIV3	A0A4V0IIV3_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	gar-1 C15B12.5 CELE_C15B12.5	Caenorhabditis elegans	710
E5QCH4	E5QCH4_CAEEL	unreviewed	Aquaporin	aqp-9 CELE_K07A1.16 K07A1.16	Caenorhabditis elegans	63
F5GUH5	F5GUH5_CAEEL	unreviewed	Plant Late Embryo Abundant (LEA) related	lea-1 CELE_K08H10.1 K08H10.1	Caenorhabditis elegans	409
A0A0K3AV55	A0A0K3AV55_CAEEL	unreviewed	SSD domain-containing protein	ptr-16 CELE_T21H3.2 T21H3.2	Caenorhabditis elegans	805
J7RNK2	J7RNK2_CAEEL	unreviewed	SCP domain-containing protein	scl-2 CELE_F49E11.10 F49E11.10	Caenorhabditis elegans	82
A0A1X7RBW0	A0A1X7RBW0_CAEEL	unreviewed	LIM domain family	lim-4 CELE_ZC64.4 ZC64.4	Caenorhabditis elegans	344
D3KFV5	D3KFV5_CAEEL	unreviewed	Uncharacterized protein	CELE_M04B2.7 M04B2.7	Caenorhabditis elegans	168
U4PBB7	U4PBB7_CAEEL	unreviewed	Ion_trans domain-containing protein	kvs-5 CELE_Y55F3C.3 Y55F3C.3	Caenorhabditis elegans	511
G4SKK4	G4SKK4_CAEEL	unreviewed	Zrt (ZRT), Irt-(IRT-) like Protein Transporter	zipt-2.4 CELE_F55F8.9 F55F8.9	Caenorhabditis elegans	432
W6RR09	W6RR09_CAEEL	unreviewed	ZZ-type domain-containing protein	dyb-1 CELE_F47G6.1 F47G6.1	Caenorhabditis elegans	512
Q7JKA3	Q7JKA3_CAEEL	unreviewed	Uncharacterized protein	CELE_T23B5.3 T23B5.3	Caenorhabditis elegans	540
O17940	O17940_CAEEL	unreviewed	Uncharacterized protein	CELE_K08F9.3 K08F9.3	Caenorhabditis elegans	274
G5EDG4	G5EDG4_CAEEL	unreviewed	EGF-like domain-containing protein	him-4 CELE_F15G9.4 F15G9.4	Caenorhabditis elegans	3962
Q86G95	Q86G95_CAEEL	unreviewed	CBFD_NFYB_HMF domain-containing protein	drap-1 CELE_F40F9.7 F40F9.7	Caenorhabditis elegans	305
D3YT38	D3YT38_CAEEL	unreviewed	Uridine kinase	CELE_F19B6.1 F19B6.1	Caenorhabditis elegans	145
F1LIN5	F1LIN5_CAEEL	unreviewed	PID domain-containing protein	num-1 CELE_T03D8.1 T03D8.1	Caenorhabditis elegans	535
C8JQR8	C8JQR8_CAEEL	unreviewed	Innexin	unc-7 inx CELE_R07D5.1 R07D5.1	Caenorhabditis elegans	402
B1GRN2	B1GRN2_CAEEL	unreviewed	Uncharacterized protein	CELE_H04D03.6 H04D03.6	Caenorhabditis elegans	92
M1ZJ67	M1ZJ67_CAEEL	unreviewed	G_PROTEIN_RECEP_F1_2 domain-containing protein	npr-13 CELE_ZC412.1 ZC412.1	Caenorhabditis elegans	44
D3YT65	D3YT65_CAEEL	unreviewed	Uncharacterized protein	CELE_F08A7.1 F08A7.1	Caenorhabditis elegans	25
H2KZ64	H2KZ64_CAEEL	unreviewed	Uncharacterized protein	CELE_F20A1.6 F20A1.6	Caenorhabditis elegans	181
A0A061ACN3	A0A061ACN3_CAEEL	unreviewed	Protein kinase domain-containing protein	mbk-2 CELE_F49E11.1 F49E11.1	Caenorhabditis elegans	523
I2HA93	I2HA93_CAEEL	unreviewed	ShKT domain-containing protein	lgc-22 CELE_F15E6.2 F15E6.2	Caenorhabditis elegans	429
U4PMN2	U4PMN2_CAEEL	unreviewed	Sema domain-containing protein	plx-1 CELE_Y55F3AL.1 Y55F3AL.1	Caenorhabditis elegans	1185
N1NV25	N1NV25_CAEEL	unreviewed	14_3_3 domain-containing protein	par-5 CELE_M117.2 M117.2	Caenorhabditis elegans	126
H2L2E4	H2L2E4_CAEEL	unreviewed	Pyruvate carboxylase 1	pyc-1 CELE_D2023.2 D2023.2	Caenorhabditis elegans	616
F5GU98	F5GU98_CAEEL	unreviewed	Calcium-transporting ATPase (EC 7.2.2.10)	mca-1 CELE_W09C2.3 W09C2.3	Caenorhabditis elegans	1085
Q93550	Q93550_CAEEL	unreviewed	Solute carrier organic anion transporter family member	CELE_F21G4.1 F21G4.1	Caenorhabditis elegans	640
D2N110	D2N110_CAEEL	unreviewed	SSD domain-containing protein	ptr-19 CELE_Y39A1B.2 Y39A1B.2	Caenorhabditis elegans	718
A0A0K3AY18	A0A0K3AY18_CAEEL	unreviewed	Uncharacterized protein	CELE_M02H5.8 M02H5.8	Caenorhabditis elegans	44
Q19132	Q19132_CAEEL	unreviewed	Ubiquitin carboxyl-terminal hydrolase	CELE_F07A11.4 F07A11.4	Caenorhabditis elegans	1135
Q8MQB0	Q8MQB0_CAEEL	unreviewed	Rab-GAP TBC domain-containing protein	tbc-7 C31H2.1 CELE_C31H2.1	Caenorhabditis elegans	639
A0A2K5ATT6	A0A2K5ATT6_CAEEL	unreviewed	BRICHOS domain-containing protein C09F5.1	C09F5.1 CELE_C09F5.1	Caenorhabditis elegans	377
A0A061ACV2	A0A061ACV2_CAEEL	unreviewed	Uncharacterized protein	CELE_M04B2.7 M04B2.7	Caenorhabditis elegans	218
G5EEQ7	G5EEQ7_CAEEL	unreviewed	Uncharacterized protein	CELE_Y37A1B.17 Y37A1B.17	Caenorhabditis elegans	606
P91356	P91356_CAEEL	unreviewed	RPA_C domain-containing protein	rpa-4 CELE_F59A3.6 F59A3.6	Caenorhabditis elegans	293
O45506	O45506_CAEEL	unreviewed	Acyl_transf_3 domain-containing protein	oac-26 CELE_F41D3.2 F41D3.2	Caenorhabditis elegans	682
B5U8N5	B5U8N5_CAEEL	unreviewed	FTH domain-containing protein	fbxa-82 C25D7.4 CELE_C25D7.4	Caenorhabditis elegans	269
H2L0L9	H2L0L9_CAEEL	unreviewed	Suppressor of Ectopic Unc-5	seu-1 CELE_Y73B6BL.5 Y73B6BL.5	Caenorhabditis elegans	526
Q9XX94	Q9XX94_CAEEL	unreviewed	Uncharacterized protein	CELE_F28H6.6 F28H6.6	Caenorhabditis elegans	772
Q5WRN6	Q5WRN6_CAEEL	unreviewed	PhosphatidylInositol Glycan anchor biosynthesis class T	pigt-1 CELE_F17C11.7 F17C11.7	Caenorhabditis elegans	515
